Date,Team,Opponent,Player,Minutes,FieldGoalAttempts,FieldGoalMade,Assits,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Turnovers,Points,OffensiveEfficiency,EfficientPointsScored,RawEOP,Win
1/5/2021,Kaukauna,Appleton West,21,24,8,7,3,3,8,11,1,17,1.111111111,18.88888889,21.42222222,Yes
1/7/2021,Kaukauna,Appleton North,21,36,12,7,6,3,6,9,0,20,0.866666667,17.33333333,21.28533333,Yes
1/11/2021,Kaukauna,Seymour,21,36,14,8,1,5,7,12,2,24,0.75,18,18.57,Yes
1/12/2021,Kaukauna,Neenah,21,30,12,8,3,3,5,8,0,21,0.916666667,19.25,21.34,No
1/15/2021,Kaukauna,Oshkosh West,21,33,13,6,1,5,5,10,3,16,0.583333333,9.333333333,9.776666667,Yes
1/16/2021,Kaukauna,Tomah,21,24,5,1,1,2,6,8,4,2,0.25,0.5,0.69,No
1/19/2021,Kaukauna,Green Bay Southwest,21,25,13,10,5,6,5,11,3,22,1,22,25.8,Yes
1/22/2021,Kaukauna,Hortonville,21,29,16,11,10,7,4,11,3,28,0.954545455,26.72727273,33.98181818,Yes
1/23/2021,Kaukauna,Appleton West,21,25,9,4,4,3,7,10,3,9,0.615384615,5.538461538,7.409230769,Yes
1/29/2021,Kaukauna,Kimberly,21,20,5,2,2,0,3,3,1,8,0.5,4,4.76,No
2/2/2021,Kaukauna,Appleton East,21,32,15,9,4,4,5,9,1,22,0.8125,17.875,20.345,No
12/3/2020,Kaukauna,Appleton North,22,1,1,0,0,0,0,0,0,0,0,0,0,Yes
12/15/2020,Kaukauna,Kimberly,22,13,6,1,1,0,1,1,1,2,0.25,0.5,0.69,No
12/23/2020,Kaukauna,Neenah,22,8,5,2,0,0,1,1,1,6,0.333333333,2,2,No
12/29/2020,Kaukauna,Pius XI Catholic,22,1,1,0,0,0,0,0,0,0,0,0,0,Yes
1/5/2021,Kaukauna,Appleton West,22,8,2,0,2,0,1,1,0,0,0.5,0,0.76,Yes
1/16/2021,Kaukauna,Tomah,22,2,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,No
